code,dt
AAL,2023-05-15
AAPL,2023-05-15
AGNC,2023-05-15
AMAT,2023-05-15
AMD,2023-05-15
AMZN,2023-05-15
APA,2023-05-15
ARDX,2023-05-15
AVGO,2023-05-15
AZN,2023-05-15
BIDU,2023-05-15
BILI,2023-05-15
BKR,2023-05-15
CAN,2023-05-15
CHRD,2023-05-15
CMCSA,2023-05-15
CPRT,2023-05-15
CRWD,2023-05-15
CSCO,2023-05-15
CSX,2023-05-15
DKNG,2023-05-15
EBAY,2023-05-15
ERIC,2023-05-15
EXC,2023-05-15
FITB,2023-05-15
FLEX,2023-05-15
FTNT,2023-05-15
GEN,2023-05-15
GERN,2023-05-15
GEVO,2023-05-15
GILD,2023-05-15
GOOG,2023-05-15
GOOGL,2023-05-15
GT,2023-05-15
HBAN,2023-05-15
HST,2023-05-15
INTC,2023-05-15
IOVA,2023-05-15
IQ,2023-05-15
JBLU,2023-05-15
JD,2023-05-15
KDP,2023-05-15
KHC,2023-05-15
LRCX,2023-05-15
LYFT,2023-05-15
MARA,2023-05-15
MCHP,2023-05-15
MDLZ,2023-05-15
META,2023-05-15
MNST,2023-05-15
MRNA,2023-05-15
MRVL,2023-05-15
MSFT,2023-05-15
MSTR,2023-05-15
MU,2023-05-15
MVIS,2023-05-15
NFLX,2023-05-15
NNDM,2023-05-15
NVAX,2023-05-15
NVDA,2023-05-15
NWL,2023-05-15
OCGN,2023-05-15
ON,2023-05-15
OPK,2023-05-15
PAA,2023-05-15
PACB,2023-05-15
PANW,2023-05-15
PARA,2023-05-15
PDD,2023-05-15
PENN,2023-05-15
PEP,2023-05-15
PLUG,2023-05-15
PTEN,2023-05-15
PTON,2023-05-15
PYPL,2023-05-15
QCOM,2023-05-15
QVCGA,2023-05-15
RIOT,2023-05-15
ROKU,2023-05-15
RUN,2023-05-15
SABR,2023-05-15
SBUX,2023-05-15
SMCI,2023-05-15
SNDL,2023-05-15
STNE,2023-05-15
TCOM,2023-05-15
TLRY,2023-05-15
TMUS,2023-05-15
TSCO,2023-05-15
TSLA,2023-05-15
TTD,2023-05-15
TXN,2023-05-15
UAL,2023-05-15
VOD,2023-05-15
VTRS,2023-05-15
VXRT,2023-05-15
WBA,2023-05-15
WBD,2023-05-15
WDC,2023-05-15
ZM,2023-05-15
