code,dt
AAL,2023-11-15
AAPL,2023-11-15
AGNC,2023-11-15
AMAT,2023-11-15
AMD,2023-11-15
AMZN,2023-11-15
APA,2023-11-15
ARDX,2023-11-15
AVGO,2023-11-15
AZN,2023-11-15
BIDU,2023-11-15
BILI,2023-11-15
BKR,2023-11-15
CAN,2023-11-15
CHRD,2023-11-15
CMCSA,2023-11-15
CPRT,2023-11-15
CRWD,2023-11-15
CSCO,2023-11-15
CSX,2023-11-15
DKNG,2023-11-15
EBAY,2023-11-15
ERIC,2023-11-15
EXC,2023-11-15
FITB,2023-11-15
FLEX,2023-11-15
FTNT,2023-11-15
GEN,2023-11-15
GERN,2023-11-15
GEVO,2023-11-15
GILD,2023-11-15
GOOG,2023-11-15
GOOGL,2023-11-15
GT,2023-11-15
HBAN,2023-11-15
HST,2023-11-15
INTC,2023-11-15
IOVA,2023-11-15
IQ,2023-11-15
JBLU,2023-11-15
JD,2023-11-15
KDP,2023-11-15
KHC,2023-11-15
LRCX,2023-11-15
LYFT,2023-11-15
MARA,2023-11-15
MCHP,2023-11-15
MDLZ,2023-11-15
META,2023-11-15
MNST,2023-11-15
MRNA,2023-11-15
MRVL,2023-11-15
MSFT,2023-11-15
MSTR,2023-11-15
MU,2023-11-15
MVIS,2023-11-15
NFLX,2023-11-15
NNDM,2023-11-15
NVAX,2023-11-15
NVDA,2023-11-15
NWL,2023-11-15
OCGN,2023-11-15
ON,2023-11-15
OPK,2023-11-15
PAA,2023-11-15
PACB,2023-11-15
PANW,2023-11-15
PARA,2023-11-15
PDD,2023-11-15
PENN,2023-11-15
PEP,2023-11-15
PLUG,2023-11-15
PTEN,2023-11-15
PTON,2023-11-15
PYPL,2023-11-15
QCOM,2023-11-15
QVCGA,2023-11-15
RIOT,2023-11-15
ROKU,2023-11-15
RUN,2023-11-15
SABR,2023-11-15
SBUX,2023-11-15
SMCI,2023-11-15
SNDL,2023-11-15
STNE,2023-11-15
TCOM,2023-11-15
TLRY,2023-11-15
TMUS,2023-11-15
TSCO,2023-11-15
TSLA,2023-11-15
TTD,2023-11-15
TXN,2023-11-15
UAL,2023-11-15
VOD,2023-11-15
VTRS,2023-11-15
VXRT,2023-11-15
WBA,2023-11-15
WBD,2023-11-15
WDC,2023-11-15
ZM,2023-11-15
