code,dt
AAL,2022-09-22
AAPL,2022-09-22
ABUS,2022-09-22
ADBE,2022-09-22
ADI,2022-09-22
ADMA,2022-09-22
AEP,2022-09-22
AGNC,2022-09-22
AKBA,2022-09-22
ALT,2022-09-22
AMAT,2022-09-22
AMD,2022-09-22
AMGN,2022-09-22
AMZN,2022-09-22
APA,2022-09-22
APPS,2022-09-22
ARCC,2022-09-22
ARDX,2022-09-22
ATER,2022-09-22
ATOS,2022-09-22
AUPH,2022-09-22
AVGO,2022-09-22
AZN,2022-09-22
BCRX,2022-09-22
BGC,2022-09-22
BIDU,2022-09-22
BILI,2022-09-22
BKR,2022-09-22
BLDP,2022-09-22
BLNK,2022-09-22
BYND,2022-09-22
CAN,2022-09-22
CELH,2022-09-22
CG,2022-09-22
CGC,2022-09-22
CHRD,2022-09-22
CLNE,2022-09-22
CMCSA,2022-09-22
COMM,2022-09-22
COST,2022-09-22
CPB,2022-09-22
CPRT,2022-09-22
CRON,2022-09-22
CRWD,2022-09-22
CSCO,2022-09-22
CSGP,2022-09-22
CSX,2022-09-22
CTSH,2022-09-22
CZR,2022-09-22
DBX,2022-09-22
DDOG,2022-09-22
DKNG,2022-09-22
DLTR,2022-09-22
DOCU,2022-09-22
DVAX,2022-09-22
DXCM,2022-09-22
EA,2022-09-22
EBAY,2022-09-22
ENPH,2022-09-22
ERIC,2022-09-22
ESPR,2022-09-22
ETSY,2022-09-22
EXC,2022-09-22
EXEL,2022-09-22
EXPE,2022-09-22
FANG,2022-09-22
FAST,2022-09-22
FITB,2022-09-22
FLEX,2022-09-22
FOLD,2022-09-22
FOXA,2022-09-22
FSLR,2022-09-22
FTNT,2022-09-22
FUTU,2022-09-22
GEN,2022-09-22
GERN,2022-09-22
GEVO,2022-09-22
GILD,2022-09-22
GOOG,2022-09-22
GOOGL,2022-09-22
GPRO,2022-09-22
GT,2022-09-22
HBAN,2022-09-22
HIVE,2022-09-22
HON,2022-09-22
HST,2022-09-22
HUT,2022-09-22
IBRX,2022-09-22
INTC,2022-09-22
IOVA,2022-09-22
IQ,2022-09-22
IRWD,2022-09-22
JBLU,2022-09-22
JD,2022-09-22
KDP,2022-09-22
KHC,2022-09-22
LBTYK,2022-09-22
LRCX,2022-09-22
LYFT,2022-09-22
MAR,2022-09-22
MARA,2022-09-22
MAT,2022-09-22
MCHP,2022-09-22
MCRB,2022-09-22
MDLZ,2022-09-22
META,2022-09-22
MGNI,2022-09-22
MLCO,2022-09-22
MNKD,2022-09-22
MNST,2022-09-22
MOMO,2022-09-22
MRNA,2022-09-22
MRVL,2022-09-22
MSFT,2022-09-22
MSTR,2022-09-22
MTCH,2022-09-22
MU,2022-09-22
MVIS,2022-09-22
NDAQ,2022-09-22
NFLX,2022-09-22
NKTR,2022-09-22
NNDM,2022-09-22
NTES,2022-09-22
NTNX,2022-09-22
NVAX,2022-09-22
NVDA,2022-09-22
NWL,2022-09-22
NWSA,2022-09-22
NXPI,2022-09-22
OCGN,2022-09-22
OKTA,2022-09-22
ON,2022-09-22
OPK,2022-09-22
PAA,2022-09-22
PACB,2022-09-22
PAGP,2022-09-22
PANW,2022-09-22
PARA,2022-09-22
PCAR,2022-09-22
PDD,2022-09-22
PENN,2022-09-22
PEP,2022-09-22
PLUG,2022-09-22
PTEN,2022-09-22
PTON,2022-09-22
PYPL,2022-09-22
QCOM,2022-09-22
QUBT,2022-09-22
QVCGA,2022-09-22
RDFN,2022-09-22
REAL,2022-09-22
RIOT,2022-09-22
ROKU,2022-09-22
ROST,2022-09-22
RUN,2022-09-22
SABR,2022-09-22
SAVA,2022-09-22
SBUX,2022-09-22
SFIX,2022-09-22
SGMO,2022-09-22
SIRI,2022-09-22
SLM,2022-09-22
SMCI,2022-09-22
SNDL,2022-09-22
SONO,2022-09-22
STNE,2022-09-22
STX,2022-09-22
TCOM,2022-09-22
TGTX,2022-09-22
TIGR,2022-09-22
TLRY,2022-09-22
TMUS,2022-09-22
TRIP,2022-09-22
TSCO,2022-09-22
TSLA,2022-09-22
TTD,2022-09-22
TXN,2022-09-22
UAL,2022-09-22
UNIT,2022-09-22
VERU,2022-09-22
VKTX,2022-09-22
VLY,2022-09-22
VOD,2022-09-22
VTRS,2022-09-22
VXRT,2022-09-22
WBA,2022-09-22
WBD,2022-09-22
WDAY,2022-09-22
WDC,2022-09-22
WEN,2022-09-22
WW,2022-09-22
WYNN,2022-09-22
XEL,2022-09-22
XP,2022-09-22
XRAY,2022-09-22
XRX,2022-09-22
Z,2022-09-22
ZION,2022-09-22
ZM,2022-09-22
ZS,2022-09-22
