code,dt
000001SZ,2024-02-22
000002SZ,2024-02-22
000157SZ,2024-02-22
000166SZ,2024-02-22
000333SZ,2024-02-22
000338SZ,2024-02-22
000538SZ,2024-02-22
000568SZ,2024-02-22
000596SZ,2024-02-22
000617SZ,2024-02-22
000625SZ,2024-02-22
000651SZ,2024-02-22
000661SZ,2024-02-22
000708SZ,2024-02-22
000725SZ,2024-02-22
000768SZ,2024-02-22
000776SZ,2024-02-22
000786SZ,2024-02-22
000800SZ,2024-02-22
000807SZ,2024-02-22
000858SZ,2024-02-22
000876SZ,2024-02-22
000895SZ,2024-02-22
000938SZ,2024-02-22
000963SZ,2024-02-22
000999SZ,2024-02-22
001965SZ,2024-02-22
002001SZ,2024-02-22
002007SZ,2024-02-22
002027SZ,2024-02-22
002028SZ,2024-02-22
002050SZ,2024-02-22
002129SZ,2024-02-22
002179SZ,2024-02-22
002230SZ,2024-02-22
002236SZ,2024-02-22
002241SZ,2024-02-22
002271SZ,2024-02-22
002304SZ,2024-02-22
002311SZ,2024-02-22
002371SZ,2024-02-22
002415SZ,2024-02-22
002422SZ,2024-02-22
002459SZ,2024-02-22
002460SZ,2024-02-22
002463SZ,2024-02-22
002466SZ,2024-02-22
002475SZ,2024-02-22
002493SZ,2024-02-22
002555SZ,2024-02-22
002594SZ,2024-02-22
002601SZ,2024-02-22
002648SZ,2024-02-22
002709SZ,2024-02-22
002714SZ,2024-02-22
002916SZ,2024-02-22
002920SZ,2024-02-22
002938SZ,2024-02-22
003816SZ,2024-02-22
300014SZ,2024-02-22
300033SZ,2024-02-22
300059SZ,2024-02-22
300122SZ,2024-02-22
300124SZ,2024-02-22
300274SZ,2024-02-22
300308SZ,2024-02-22
300316SZ,2024-02-22
300347SZ,2024-02-22
300394SZ,2024-02-22
300408SZ,2024-02-22
300413SZ,2024-02-22
300418SZ,2024-02-22
300433SZ,2024-02-22
300450SZ,2024-02-22
300498SZ,2024-02-22
300502SZ,2024-02-22
300628SZ,2024-02-22
300661SZ,2024-02-22
300750SZ,2024-02-22
300759SZ,2024-02-22
300760SZ,2024-02-22
300782SZ,2024-02-22
600000SS,2024-02-22
600010SS,2024-02-22
600011SS,2024-02-22
600015SS,2024-02-22
600016SS,2024-02-22
600018SS,2024-02-22
600019SS,2024-02-22
600023SS,2024-02-22
600025SS,2024-02-22
600026SS,2024-02-22
600028SS,2024-02-22
600029SS,2024-02-22
600031SS,2024-02-22
600036SS,2024-02-22
600048SS,2024-02-22
600050SS,2024-02-22
600061SS,2024-02-22
600085SS,2024-02-22
600089SS,2024-02-22
600104SS,2024-02-22
600111SS,2024-02-22
600115SS,2024-02-22
600161SS,2024-02-22
600183SS,2024-02-22
600188SS,2024-02-22
600196SS,2024-02-22
600219SS,2024-02-22
600233SS,2024-02-22
600276SS,2024-02-22
600309SS,2024-02-22
600332SS,2024-02-22
600346SS,2024-02-22
600362SS,2024-02-22
600377SS,2024-02-22
600406SS,2024-02-22
600415SS,2024-02-22
600426SS,2024-02-22
600436SS,2024-02-22
600438SS,2024-02-22
600489SS,2024-02-22
600519SS,2024-02-22
600570SS,2024-02-22
600585SS,2024-02-22
600588SS,2024-02-22
600600SS,2024-02-22
600660SS,2024-02-22
600674SS,2024-02-22
600741SS,2024-02-22
600760SS,2024-02-22
600795SS,2024-02-22
600809SS,2024-02-22
600875SS,2024-02-22
600886SS,2024-02-22
600887SS,2024-02-22
600926SS,2024-02-22
600989SS,2024-02-22
601006SS,2024-02-22
601009SS,2024-02-22
601012SS,2024-02-22
601021SS,2024-02-22
601058SS,2024-02-22
601066SS,2024-02-22
601088SS,2024-02-22
601100SS,2024-02-22
601117SS,2024-02-22
601138SS,2024-02-22
601166SS,2024-02-22
601169SS,2024-02-22
601186SS,2024-02-22
601225SS,2024-02-22
601229SS,2024-02-22
601238SS,2024-02-22
601288SS,2024-02-22
601318SS,2024-02-22
601319SS,2024-02-22
601328SS,2024-02-22
601336SS,2024-02-22
601360SS,2024-02-22
601390SS,2024-02-22
601398SS,2024-02-22
601600SS,2024-02-22
601601SS,2024-02-22
601607SS,2024-02-22
601618SS,2024-02-22
601628SS,2024-02-22
601633SS,2024-02-22
601658SS,2024-02-22
601668SS,2024-02-22
601669SS,2024-02-22
601688SS,2024-02-22
601689SS,2024-02-22
601698SS,2024-02-22
601699SS,2024-02-22
601766SS,2024-02-22
601788SS,2024-02-22
601799SS,2024-02-22
601800SS,2024-02-22
601808SS,2024-02-22
601816SS,2024-02-22
601818SS,2024-02-22
601838SS,2024-02-22
601857SS,2024-02-22
601865SS,2024-02-22
601872SS,2024-02-22
601877SS,2024-02-22
601878SS,2024-02-22
601881SS,2024-02-22
601888SS,2024-02-22
601899SS,2024-02-22
601901SS,2024-02-22
601919SS,2024-02-22
601939SS,2024-02-22
601985SS,2024-02-22
601988SS,2024-02-22
601998SS,2024-02-22
603019SS,2024-02-22
603195SS,2024-02-22
603259SS,2024-02-22
603260SS,2024-02-22
603288SS,2024-02-22
603369SS,2024-02-22
603501SS,2024-02-22
603659SS,2024-02-22
603799SS,2024-02-22
603806SS,2024-02-22
603833SS,2024-02-22
603986SS,2024-02-22
603993SS,2024-02-22
688008SS,2024-02-22
688009SS,2024-02-22
688012SS,2024-02-22
688036SS,2024-02-22
688111SS,2024-02-22
688169SS,2024-02-22
688396SS,2024-02-22
