code,dt
ABAT,2021-11-10
ACLS,2021-11-10
ACMR,2021-11-10
ADMA,2021-11-10
ADUS,2021-11-10
ADVM,2021-11-10
AEIS,2021-11-10
AGNCM,2021-11-10
AHCO,2021-11-10
ALGT,2021-11-10
ALLO,2021-11-10
AMSF,2021-11-10
ANAB,2021-11-10
ANDE,2021-11-10
APLS,2021-11-10
APPF,2021-11-10
ASML,2021-11-10
ATRC,2021-11-10
AVGO,2021-11-10
AVT,2021-11-10
AXDX,2021-11-10
AXSM,2021-11-10
AZN,2021-11-10
BANR,2021-11-10
BBIO,2021-11-10
BCYC,2021-11-10
BHFAP,2021-11-10
BKR,2021-11-10
BLDP,2021-11-10
BLFS,2021-11-10
BLKB,2021-11-10
BLMN,2021-11-10
BNTX,2021-11-10
BPMC,2021-11-10
CALM,2021-11-10
CAMT,2021-11-10
CASH,2021-11-10
CATY,2021-11-10
CCEP,2021-11-10
CDLX,2021-11-10
CDNS,2021-11-10
CENN,2021-11-10
CENX,2021-11-10
CGC,2021-11-10
CHDN,2021-11-10
CLBK,2021-11-10
COKE,2021-11-10
COLB,2021-11-10
COO,2021-11-10
CORT,2021-11-10
CRMT,2021-11-10
CRNX,2021-11-10
CRTO,2021-11-10
CRVL,2021-11-10
CSCO,2021-11-10
CSQ,2021-11-10
CSWI,2021-11-10
CVBF,2021-11-10
CWST,2021-11-10
CYCC,2021-11-10
CZR,2021-11-10
DLTR,2021-11-10
DORM,2021-11-10
ENTA,2021-11-10
EQIX,2021-11-10
ERIC,2021-11-10
EVRG,2021-11-10
EWBC,2021-11-10
EXAS,2021-11-10
EXLS,2021-11-10
EXPI,2021-11-10
EYE,2021-11-10
FBNC,2021-11-10
FBRX,2021-11-10
FCNCA,2021-11-10
FELE,2021-11-10
FIBK,2021-11-10
FLEX,2021-11-10
FRGT,2021-11-10
FRHC,2021-11-10
FRME,2021-11-10
FWONA,2021-11-10
FWONK,2021-11-10
GDEN,2021-11-10
GIII,2021-11-10
GILD,2021-11-10
GLNG,2021-11-10
GNTX,2021-11-10
GOOGL,2021-11-10
GRPN,2021-11-10
HCSG,2021-11-10
HIMX,2021-11-10
HOPE,2021-11-10
HST,2021-11-10
HTLD,2021-11-10
HUT,2021-11-10
HWC,2021-11-10
ICUI,2021-11-10
IESC,2021-11-10
INTC,2021-11-10
INTU,2021-11-10
IOVA,2021-11-10
IPAR,2021-11-10
IPGP,2021-11-10
ISRG,2021-11-10
JBSS,2021-11-10
KALU,2021-11-10
KPRX,2021-11-10
KRNT,2021-11-10
LAUR,2021-11-10
LBRDA,2021-11-10
LBTYK,2021-11-10
LECO,2021-11-10
LILAK,2021-11-10
LITE,2021-11-10
MANH,2021-11-10
MDXG,2021-11-10
MFIC,2021-11-10
MGEE,2021-11-10
MIDD,2021-11-10
MLAB,2021-11-10
MMSI,2021-11-10
MNKD,2021-11-10
MOMO,2021-11-10
MRVL,2021-11-10
NICE,2021-11-10
NMFC,2021-11-10
NUWE,2021-11-10
NVCR,2021-11-10
NWBI,2021-11-10
OFIX,2021-11-10
OFLX,2021-11-10
OMCL,2021-11-10
OPK,2021-11-10
ORKA,2021-11-10
ORLY,2021-11-10
OTTR,2021-11-10
PDD,2021-11-10
PNTG,2021-11-10
POOL,2021-11-10
POWL,2021-11-10
PPBI,2021-11-10
PPC,2021-11-10
PRAA,2021-11-10
PRPL,2021-11-10
PZZA,2021-11-10
QTRX,2021-11-10
QURE,2021-11-10
RDFN,2021-11-10
RDHL,2021-11-10
REAL,2021-11-10
REG,2021-11-10
REYN,2021-11-10
RGLD,2021-11-10
RIOT,2021-11-10
RUN,2021-11-10
RYTM,2021-11-10
SAIA,2021-11-10
SBAC,2021-11-10
SBRA,2021-11-10
SCVL,2021-11-10
SHOO,2021-11-10
SLAB,2021-11-10
SLDB,2021-11-10
SMCI,2021-11-10
SMTC,2021-11-10
SRCE,2021-11-10
SSP,2021-11-10
SSRM,2021-11-10
STBA,2021-11-10
STRO,2021-11-10
SVC,2021-11-10
SYBT,2021-11-10
TCBI,2021-11-10
TCOM,2021-11-10
TENX,2021-11-10
TH,2021-11-10
TMUS,2021-11-10
TNDM,2021-11-10
TTD,2021-11-10
TTMI,2021-11-10
UAL,2021-11-10
ULH,2021-11-10
ULTA,2021-11-10
VCYT,2021-11-10
VIRT,2021-11-10
VKTX,2021-11-10
VOD,2021-11-10
VRDN,2021-11-10
VREX,2021-11-10
VRNT,2021-11-10
VSAT,2021-11-10
WB,2021-11-10
WBD,2021-11-10
WDC,2021-11-10
WEN,2021-11-10
WSFS,2021-11-10
XXII,2021-11-10
Z,2021-11-10
ZBRA,2021-11-10
