code,dt
000001SZ,2022-02-21
000002SZ,2022-02-21
000157SZ,2022-02-21
000166SZ,2022-02-21
000333SZ,2022-02-21
000338SZ,2022-02-21
000538SZ,2022-02-21
000568SZ,2022-02-21
000596SZ,2022-02-21
000617SZ,2022-02-21
000625SZ,2022-02-21
000651SZ,2022-02-21
000661SZ,2022-02-21
000708SZ,2022-02-21
000725SZ,2022-02-21
000768SZ,2022-02-21
000776SZ,2022-02-21
000786SZ,2022-02-21
000800SZ,2022-02-21
000807SZ,2022-02-21
000858SZ,2022-02-21
000876SZ,2022-02-21
000895SZ,2022-02-21
000938SZ,2022-02-21
000963SZ,2022-02-21
000999SZ,2022-02-21
001965SZ,2022-02-21
002001SZ,2022-02-21
002007SZ,2022-02-21
002027SZ,2022-02-21
002028SZ,2022-02-21
002050SZ,2022-02-21
002129SZ,2022-02-21
002179SZ,2022-02-21
002230SZ,2022-02-21
002236SZ,2022-02-21
002241SZ,2022-02-21
002271SZ,2022-02-21
002304SZ,2022-02-21
002311SZ,2022-02-21
002371SZ,2022-02-21
002415SZ,2022-02-21
002422SZ,2022-02-21
002459SZ,2022-02-21
002460SZ,2022-02-21
002463SZ,2022-02-21
002466SZ,2022-02-21
002475SZ,2022-02-21
002493SZ,2022-02-21
002555SZ,2022-02-21
002594SZ,2022-02-21
002601SZ,2022-02-21
002648SZ,2022-02-21
002709SZ,2022-02-21
002714SZ,2022-02-21
002916SZ,2022-02-21
002920SZ,2022-02-21
002938SZ,2022-02-21
003816SZ,2022-02-21
300014SZ,2022-02-21
300033SZ,2022-02-21
300059SZ,2022-02-21
300122SZ,2022-02-21
300124SZ,2022-02-21
300274SZ,2022-02-21
300308SZ,2022-02-21
300316SZ,2022-02-21
300347SZ,2022-02-21
300394SZ,2022-02-21
300408SZ,2022-02-21
300413SZ,2022-02-21
300418SZ,2022-02-21
300433SZ,2022-02-21
300450SZ,2022-02-21
300498SZ,2022-02-21
300502SZ,2022-02-21
300628SZ,2022-02-21
300661SZ,2022-02-21
300750SZ,2022-02-21
300759SZ,2022-02-21
300760SZ,2022-02-21
300782SZ,2022-02-21
600000SS,2022-02-21
600010SS,2022-02-21
600011SS,2022-02-21
600015SS,2022-02-21
600016SS,2022-02-21
600018SS,2022-02-21
600019SS,2022-02-21
600023SS,2022-02-21
600025SS,2022-02-21
600026SS,2022-02-21
600028SS,2022-02-21
600029SS,2022-02-21
600031SS,2022-02-21
600036SS,2022-02-21
600048SS,2022-02-21
600050SS,2022-02-21
600061SS,2022-02-21
600085SS,2022-02-21
600089SS,2022-02-21
600104SS,2022-02-21
600111SS,2022-02-21
600115SS,2022-02-21
600161SS,2022-02-21
600183SS,2022-02-21
600188SS,2022-02-21
600196SS,2022-02-21
600219SS,2022-02-21
600233SS,2022-02-21
600276SS,2022-02-21
600309SS,2022-02-21
600332SS,2022-02-21
600346SS,2022-02-21
600362SS,2022-02-21
600377SS,2022-02-21
600406SS,2022-02-21
600415SS,2022-02-21
600426SS,2022-02-21
600436SS,2022-02-21
600438SS,2022-02-21
600489SS,2022-02-21
600519SS,2022-02-21
600570SS,2022-02-21
600585SS,2022-02-21
600588SS,2022-02-21
600600SS,2022-02-21
600660SS,2022-02-21
600674SS,2022-02-21
600741SS,2022-02-21
600760SS,2022-02-21
600795SS,2022-02-21
600809SS,2022-02-21
600875SS,2022-02-21
600886SS,2022-02-21
600887SS,2022-02-21
600926SS,2022-02-21
600989SS,2022-02-21
601006SS,2022-02-21
601009SS,2022-02-21
601012SS,2022-02-21
601021SS,2022-02-21
601058SS,2022-02-21
601066SS,2022-02-21
601088SS,2022-02-21
601100SS,2022-02-21
601117SS,2022-02-21
601138SS,2022-02-21
601166SS,2022-02-21
601169SS,2022-02-21
601186SS,2022-02-21
601225SS,2022-02-21
601229SS,2022-02-21
601238SS,2022-02-21
601288SS,2022-02-21
601318SS,2022-02-21
601319SS,2022-02-21
601328SS,2022-02-21
601336SS,2022-02-21
601360SS,2022-02-21
601390SS,2022-02-21
601398SS,2022-02-21
601600SS,2022-02-21
601601SS,2022-02-21
601607SS,2022-02-21
601618SS,2022-02-21
601628SS,2022-02-21
601633SS,2022-02-21
601658SS,2022-02-21
601668SS,2022-02-21
601669SS,2022-02-21
601688SS,2022-02-21
601689SS,2022-02-21
601698SS,2022-02-21
601699SS,2022-02-21
601766SS,2022-02-21
601788SS,2022-02-21
601799SS,2022-02-21
601800SS,2022-02-21
601808SS,2022-02-21
601816SS,2022-02-21
601818SS,2022-02-21
601838SS,2022-02-21
601857SS,2022-02-21
601865SS,2022-02-21
601872SS,2022-02-21
601877SS,2022-02-21
601878SS,2022-02-21
601881SS,2022-02-21
601888SS,2022-02-21
601899SS,2022-02-21
601901SS,2022-02-21
601919SS,2022-02-21
601939SS,2022-02-21
601985SS,2022-02-21
601988SS,2022-02-21
601998SS,2022-02-21
603019SS,2022-02-21
603195SS,2022-02-21
603259SS,2022-02-21
603260SS,2022-02-21
603288SS,2022-02-21
603369SS,2022-02-21
603501SS,2022-02-21
603659SS,2022-02-21
603799SS,2022-02-21
603806SS,2022-02-21
603833SS,2022-02-21
603986SS,2022-02-21
603993SS,2022-02-21
688008SS,2022-02-21
688009SS,2022-02-21
688012SS,2022-02-21
688036SS,2022-02-21
688111SS,2022-02-21
688169SS,2022-02-21
688396SS,2022-02-21
