code,dt
000001SZ,2022-05-09
000002SZ,2022-05-09
000157SZ,2022-05-09
000166SZ,2022-05-09
000333SZ,2022-05-09
000338SZ,2022-05-09
000538SZ,2022-05-09
000568SZ,2022-05-09
000596SZ,2022-05-09
000617SZ,2022-05-09
000625SZ,2022-05-09
000651SZ,2022-05-09
000661SZ,2022-05-09
000708SZ,2022-05-09
000725SZ,2022-05-09
000768SZ,2022-05-09
000776SZ,2022-05-09
000786SZ,2022-05-09
000800SZ,2022-05-09
000807SZ,2022-05-09
000858SZ,2022-05-09
000876SZ,2022-05-09
000895SZ,2022-05-09
000938SZ,2022-05-09
000963SZ,2022-05-09
000999SZ,2022-05-09
001965SZ,2022-05-09
002001SZ,2022-05-09
002007SZ,2022-05-09
002027SZ,2022-05-09
002028SZ,2022-05-09
002050SZ,2022-05-09
002129SZ,2022-05-09
002179SZ,2022-05-09
002230SZ,2022-05-09
002236SZ,2022-05-09
002241SZ,2022-05-09
002271SZ,2022-05-09
002304SZ,2022-05-09
002311SZ,2022-05-09
002371SZ,2022-05-09
002415SZ,2022-05-09
002422SZ,2022-05-09
002459SZ,2022-05-09
002460SZ,2022-05-09
002463SZ,2022-05-09
002466SZ,2022-05-09
002475SZ,2022-05-09
002493SZ,2022-05-09
002555SZ,2022-05-09
002594SZ,2022-05-09
002601SZ,2022-05-09
002648SZ,2022-05-09
002709SZ,2022-05-09
002714SZ,2022-05-09
002916SZ,2022-05-09
002920SZ,2022-05-09
002938SZ,2022-05-09
003816SZ,2022-05-09
300014SZ,2022-05-09
300033SZ,2022-05-09
300059SZ,2022-05-09
300122SZ,2022-05-09
300124SZ,2022-05-09
300274SZ,2022-05-09
300308SZ,2022-05-09
300316SZ,2022-05-09
300347SZ,2022-05-09
300394SZ,2022-05-09
300408SZ,2022-05-09
300413SZ,2022-05-09
300418SZ,2022-05-09
300433SZ,2022-05-09
300450SZ,2022-05-09
300498SZ,2022-05-09
300502SZ,2022-05-09
300628SZ,2022-05-09
300661SZ,2022-05-09
300750SZ,2022-05-09
300759SZ,2022-05-09
300760SZ,2022-05-09
300782SZ,2022-05-09
600000SS,2022-05-09
600010SS,2022-05-09
600011SS,2022-05-09
600015SS,2022-05-09
600016SS,2022-05-09
600018SS,2022-05-09
600019SS,2022-05-09
600023SS,2022-05-09
600025SS,2022-05-09
600026SS,2022-05-09
600028SS,2022-05-09
600029SS,2022-05-09
600031SS,2022-05-09
600036SS,2022-05-09
600048SS,2022-05-09
600050SS,2022-05-09
600061SS,2022-05-09
600085SS,2022-05-09
600089SS,2022-05-09
600104SS,2022-05-09
600111SS,2022-05-09
600115SS,2022-05-09
600161SS,2022-05-09
600183SS,2022-05-09
600188SS,2022-05-09
600196SS,2022-05-09
600219SS,2022-05-09
600233SS,2022-05-09
600276SS,2022-05-09
600309SS,2022-05-09
600332SS,2022-05-09
600346SS,2022-05-09
600362SS,2022-05-09
600377SS,2022-05-09
600406SS,2022-05-09
600415SS,2022-05-09
600426SS,2022-05-09
600436SS,2022-05-09
600438SS,2022-05-09
600489SS,2022-05-09
600519SS,2022-05-09
600570SS,2022-05-09
600585SS,2022-05-09
600588SS,2022-05-09
600600SS,2022-05-09
600660SS,2022-05-09
600674SS,2022-05-09
600741SS,2022-05-09
600760SS,2022-05-09
600795SS,2022-05-09
600809SS,2022-05-09
600875SS,2022-05-09
600886SS,2022-05-09
600887SS,2022-05-09
600926SS,2022-05-09
600989SS,2022-05-09
601006SS,2022-05-09
601009SS,2022-05-09
601012SS,2022-05-09
601021SS,2022-05-09
601058SS,2022-05-09
601066SS,2022-05-09
601088SS,2022-05-09
601100SS,2022-05-09
601117SS,2022-05-09
601138SS,2022-05-09
601166SS,2022-05-09
601169SS,2022-05-09
601186SS,2022-05-09
601225SS,2022-05-09
601229SS,2022-05-09
601238SS,2022-05-09
601288SS,2022-05-09
601318SS,2022-05-09
601319SS,2022-05-09
601328SS,2022-05-09
601336SS,2022-05-09
601360SS,2022-05-09
601390SS,2022-05-09
601398SS,2022-05-09
601600SS,2022-05-09
601601SS,2022-05-09
601607SS,2022-05-09
601618SS,2022-05-09
601628SS,2022-05-09
601633SS,2022-05-09
601658SS,2022-05-09
601668SS,2022-05-09
601669SS,2022-05-09
601688SS,2022-05-09
601689SS,2022-05-09
601698SS,2022-05-09
601699SS,2022-05-09
601766SS,2022-05-09
601788SS,2022-05-09
601799SS,2022-05-09
601800SS,2022-05-09
601808SS,2022-05-09
601816SS,2022-05-09
601818SS,2022-05-09
601838SS,2022-05-09
601857SS,2022-05-09
601865SS,2022-05-09
601872SS,2022-05-09
601877SS,2022-05-09
601878SS,2022-05-09
601881SS,2022-05-09
601888SS,2022-05-09
601899SS,2022-05-09
601901SS,2022-05-09
601919SS,2022-05-09
601939SS,2022-05-09
601985SS,2022-05-09
601988SS,2022-05-09
601998SS,2022-05-09
603019SS,2022-05-09
603195SS,2022-05-09
603259SS,2022-05-09
603260SS,2022-05-09
603288SS,2022-05-09
603369SS,2022-05-09
603501SS,2022-05-09
603659SS,2022-05-09
603799SS,2022-05-09
603806SS,2022-05-09
603833SS,2022-05-09
603986SS,2022-05-09
603993SS,2022-05-09
688008SS,2022-05-09
688009SS,2022-05-09
688012SS,2022-05-09
688036SS,2022-05-09
688111SS,2022-05-09
688169SS,2022-05-09
688396SS,2022-05-09
