code,dt
000001SZ,2022-12-08
000002SZ,2022-12-08
000157SZ,2022-12-08
000166SZ,2022-12-08
000333SZ,2022-12-08
000338SZ,2022-12-08
000538SZ,2022-12-08
000568SZ,2022-12-08
000596SZ,2022-12-08
000617SZ,2022-12-08
000625SZ,2022-12-08
000651SZ,2022-12-08
000661SZ,2022-12-08
000708SZ,2022-12-08
000725SZ,2022-12-08
000768SZ,2022-12-08
000776SZ,2022-12-08
000786SZ,2022-12-08
000800SZ,2022-12-08
000807SZ,2022-12-08
000858SZ,2022-12-08
000876SZ,2022-12-08
000895SZ,2022-12-08
000938SZ,2022-12-08
000963SZ,2022-12-08
000999SZ,2022-12-08
001965SZ,2022-12-08
002001SZ,2022-12-08
002007SZ,2022-12-08
002027SZ,2022-12-08
002028SZ,2022-12-08
002050SZ,2022-12-08
002129SZ,2022-12-08
002179SZ,2022-12-08
002230SZ,2022-12-08
002236SZ,2022-12-08
002241SZ,2022-12-08
002271SZ,2022-12-08
002304SZ,2022-12-08
002311SZ,2022-12-08
002371SZ,2022-12-08
002415SZ,2022-12-08
002422SZ,2022-12-08
002459SZ,2022-12-08
002460SZ,2022-12-08
002463SZ,2022-12-08
002466SZ,2022-12-08
002475SZ,2022-12-08
002493SZ,2022-12-08
002555SZ,2022-12-08
002594SZ,2022-12-08
002601SZ,2022-12-08
002648SZ,2022-12-08
002709SZ,2022-12-08
002714SZ,2022-12-08
002916SZ,2022-12-08
002920SZ,2022-12-08
002938SZ,2022-12-08
003816SZ,2022-12-08
300014SZ,2022-12-08
300033SZ,2022-12-08
300059SZ,2022-12-08
300122SZ,2022-12-08
300124SZ,2022-12-08
300274SZ,2022-12-08
300308SZ,2022-12-08
300316SZ,2022-12-08
300347SZ,2022-12-08
300394SZ,2022-12-08
300408SZ,2022-12-08
300413SZ,2022-12-08
300418SZ,2022-12-08
300433SZ,2022-12-08
300450SZ,2022-12-08
300498SZ,2022-12-08
300502SZ,2022-12-08
300628SZ,2022-12-08
300661SZ,2022-12-08
300750SZ,2022-12-08
300759SZ,2022-12-08
300760SZ,2022-12-08
300782SZ,2022-12-08
600000SS,2022-12-08
600010SS,2022-12-08
600011SS,2022-12-08
600015SS,2022-12-08
600016SS,2022-12-08
600018SS,2022-12-08
600019SS,2022-12-08
600023SS,2022-12-08
600025SS,2022-12-08
600026SS,2022-12-08
600028SS,2022-12-08
600029SS,2022-12-08
600031SS,2022-12-08
600036SS,2022-12-08
600048SS,2022-12-08
600050SS,2022-12-08
600061SS,2022-12-08
600085SS,2022-12-08
600089SS,2022-12-08
600104SS,2022-12-08
600111SS,2022-12-08
600115SS,2022-12-08
600161SS,2022-12-08
600183SS,2022-12-08
600188SS,2022-12-08
600196SS,2022-12-08
600219SS,2022-12-08
600233SS,2022-12-08
600276SS,2022-12-08
600309SS,2022-12-08
600332SS,2022-12-08
600346SS,2022-12-08
600362SS,2022-12-08
600377SS,2022-12-08
600406SS,2022-12-08
600415SS,2022-12-08
600426SS,2022-12-08
600436SS,2022-12-08
600438SS,2022-12-08
600489SS,2022-12-08
600519SS,2022-12-08
600570SS,2022-12-08
600585SS,2022-12-08
600588SS,2022-12-08
600600SS,2022-12-08
600660SS,2022-12-08
600674SS,2022-12-08
600741SS,2022-12-08
600760SS,2022-12-08
600795SS,2022-12-08
600809SS,2022-12-08
600875SS,2022-12-08
600886SS,2022-12-08
600887SS,2022-12-08
600926SS,2022-12-08
600989SS,2022-12-08
601006SS,2022-12-08
601009SS,2022-12-08
601012SS,2022-12-08
601021SS,2022-12-08
601058SS,2022-12-08
601066SS,2022-12-08
601088SS,2022-12-08
601100SS,2022-12-08
601117SS,2022-12-08
601138SS,2022-12-08
601166SS,2022-12-08
601169SS,2022-12-08
601186SS,2022-12-08
601225SS,2022-12-08
601229SS,2022-12-08
601238SS,2022-12-08
601288SS,2022-12-08
601318SS,2022-12-08
601319SS,2022-12-08
601328SS,2022-12-08
601336SS,2022-12-08
601360SS,2022-12-08
601390SS,2022-12-08
601398SS,2022-12-08
601600SS,2022-12-08
601601SS,2022-12-08
601607SS,2022-12-08
601618SS,2022-12-08
601628SS,2022-12-08
601633SS,2022-12-08
601658SS,2022-12-08
601668SS,2022-12-08
601669SS,2022-12-08
601688SS,2022-12-08
601689SS,2022-12-08
601698SS,2022-12-08
601699SS,2022-12-08
601766SS,2022-12-08
601788SS,2022-12-08
601799SS,2022-12-08
601800SS,2022-12-08
601808SS,2022-12-08
601816SS,2022-12-08
601818SS,2022-12-08
601838SS,2022-12-08
601857SS,2022-12-08
601865SS,2022-12-08
601872SS,2022-12-08
601877SS,2022-12-08
601878SS,2022-12-08
601881SS,2022-12-08
601888SS,2022-12-08
601899SS,2022-12-08
601901SS,2022-12-08
601919SS,2022-12-08
601939SS,2022-12-08
601985SS,2022-12-08
601988SS,2022-12-08
601998SS,2022-12-08
603019SS,2022-12-08
603195SS,2022-12-08
603259SS,2022-12-08
603260SS,2022-12-08
603288SS,2022-12-08
603369SS,2022-12-08
603501SS,2022-12-08
603659SS,2022-12-08
603799SS,2022-12-08
603806SS,2022-12-08
603833SS,2022-12-08
603986SS,2022-12-08
603993SS,2022-12-08
688008SS,2022-12-08
688009SS,2022-12-08
688012SS,2022-12-08
688036SS,2022-12-08
688111SS,2022-12-08
688169SS,2022-12-08
688396SS,2022-12-08
