date,nodes,pos_edges,neg_edges
2020-05-07,200,14384,3048
2020-05-08,200,19894,3702
2020-05-11,200,20674,4110
2020-05-12,200,20892,4632
2020-05-13,200,21056,4900
2020-05-14,200,14352,2788
2020-05-15,200,12548,2918
2020-05-18,200,12736,3020
2020-05-19,200,13300,3064
2020-05-20,200,13892,3180
2020-05-21,200,12740,3148
2020-05-22,200,12282,3048
2020-05-26,200,12830,3144
2020-05-27,200,13182,3246
2020-05-28,200,13548,3610
2020-05-29,200,12022,3900
2020-06-01,200,11768,3826
2020-06-02,200,12148,3734
2020-06-03,200,12704,3706
2020-06-04,200,13374,3746
2020-06-05,200,13690,3516
2020-06-08,200,14030,3572
2020-06-09,200,14498,3614
2020-06-10,200,15092,3568
2020-06-11,200,15640,3370
2020-06-12,200,16030,3238
2020-06-15,200,16452,3180
2020-06-16,200,16852,3056
2020-06-17,200,17196,2902
2020-05-07,200,12578,3834
2020-05-08,200,18214,4324
2020-05-11,200,19124,4572
2020-05-12,200,19478,4984
2020-05-13,200,19664,5224
2020-05-14,200,14150,2286
2020-05-15,200,12130,2608
2020-05-18,200,12122,2804
2020-05-19,200,12598,2848
2020-05-20,200,13242,2950
2020-05-21,200,12000,2932
2020-05-22,200,11566,2774
2020-05-26,200,11956,2838
2020-05-27,200,12178,3118
2020-05-28,200,12406,3588
2020-05-29,200,11040,3920
2020-06-01,200,10726,3902
2020-06-02,200,11318,3958
2020-06-03,200,11990,3996
2020-06-04,200,12706,3976
2020-06-05,200,13262,3688
2020-06-08,200,13878,3846
2020-06-09,200,14266,4114
2020-06-10,200,14798,4308
2020-06-11,200,15114,4184
2020-06-12,200,15062,4138
2020-06-15,200,15096,4166
2020-06-16,200,15256,4134
2020-06-17,200,15270,4032
2020-06-18,200,15418,4064
2020-06-19,200,14990,3964
2020-06-22,200,14786,3964
2020-06-23,200,14774,4102
2020-06-24,200,14708,4172
2020-06-25,200,14490,4296
2020-06-26,200,13806,4398
2020-06-29,200,13106,4590
2020-06-30,200,12666,4660
2020-07-01,200,12258,4790
2020-07-02,200,11906,4884
2020-07-06,200,10804,5028
2020-07-07,200,9850,5662
2020-07-08,200,9144,6590
2020-07-09,200,8644,7958
2020-07-10,200,8238,8606
2020-07-13,200,7468,8992
2020-07-14,200,7346,9328
2020-07-15,200,7440,9438
2020-07-16,200,7564,9292
2020-07-17,200,7716,9254
2020-07-20,200,7610,9224
2020-07-21,200,7746,8676
2020-07-22,200,7956,8496
2020-07-23,200,8116,8176
2020-07-24,200,8120,8146
2020-07-27,200,7942,8192
2020-07-28,200,7862,8290
2020-07-29,200,7842,8176
