code,dt
ABAT,2020-05-19
ACLS,2020-05-19
ACMR,2020-05-19
ADMA,2020-05-19
ADUS,2020-05-19
ADVM,2020-05-19
AEIS,2020-05-19
AGNCM,2020-05-19
AHCO,2020-05-19
ALGT,2020-05-19
ALLO,2020-05-19
AMSF,2020-05-19
ANAB,2020-05-19
ANDE,2020-05-19
APLS,2020-05-19
APPF,2020-05-19
ASML,2020-05-19
ATRC,2020-05-19
AVGO,2020-05-19
AVT,2020-05-19
AXDX,2020-05-19
AXSM,2020-05-19
AZN,2020-05-19
BANR,2020-05-19
BBIO,2020-05-19
BCYC,2020-05-19
BHFAP,2020-05-19
BKR,2020-05-19
BLDP,2020-05-19
BLFS,2020-05-19
BLKB,2020-05-19
BLMN,2020-05-19
BNTX,2020-05-19
BPMC,2020-05-19
CALM,2020-05-19
CAMT,2020-05-19
CASH,2020-05-19
CATY,2020-05-19
CCEP,2020-05-19
CDLX,2020-05-19
CDNS,2020-05-19
CENN,2020-05-19
CENX,2020-05-19
CGC,2020-05-19
CHDN,2020-05-19
CLBK,2020-05-19
COKE,2020-05-19
COLB,2020-05-19
COO,2020-05-19
CORT,2020-05-19
CRMT,2020-05-19
CRNX,2020-05-19
CRTO,2020-05-19
CRVL,2020-05-19
CSCO,2020-05-19
CSQ,2020-05-19
CSWI,2020-05-19
CVBF,2020-05-19
CWST,2020-05-19
CYCC,2020-05-19
CZR,2020-05-19
DLTR,2020-05-19
DORM,2020-05-19
ENTA,2020-05-19
EQIX,2020-05-19
ERIC,2020-05-19
EVRG,2020-05-19
EWBC,2020-05-19
EXAS,2020-05-19
EXLS,2020-05-19
EXPI,2020-05-19
EYE,2020-05-19
FBNC,2020-05-19
FBRX,2020-05-19
FCNCA,2020-05-19
FELE,2020-05-19
FIBK,2020-05-19
FLEX,2020-05-19
FRGT,2020-05-19
FRHC,2020-05-19
FRME,2020-05-19
FWONA,2020-05-19
FWONK,2020-05-19
GDEN,2020-05-19
GIII,2020-05-19
GILD,2020-05-19
GLNG,2020-05-19
GNTX,2020-05-19
GOOGL,2020-05-19
GRPN,2020-05-19
HCSG,2020-05-19
HIMX,2020-05-19
HOPE,2020-05-19
HST,2020-05-19
HTLD,2020-05-19
HUT,2020-05-19
HWC,2020-05-19
ICUI,2020-05-19
IESC,2020-05-19
INTC,2020-05-19
INTU,2020-05-19
IOVA,2020-05-19
IPAR,2020-05-19
IPGP,2020-05-19
ISRG,2020-05-19
JBSS,2020-05-19
KALU,2020-05-19
KPRX,2020-05-19
KRNT,2020-05-19
LAUR,2020-05-19
LBRDA,2020-05-19
LBTYK,2020-05-19
LECO,2020-05-19
LILAK,2020-05-19
LITE,2020-05-19
MANH,2020-05-19
MDXG,2020-05-19
MFIC,2020-05-19
MGEE,2020-05-19
MIDD,2020-05-19
MLAB,2020-05-19
MMSI,2020-05-19
MNKD,2020-05-19
MOMO,2020-05-19
MRVL,2020-05-19
NICE,2020-05-19
NMFC,2020-05-19
NUWE,2020-05-19
NVCR,2020-05-19
NWBI,2020-05-19
OFIX,2020-05-19
OFLX,2020-05-19
OMCL,2020-05-19
OPK,2020-05-19
ORKA,2020-05-19
ORLY,2020-05-19
OTTR,2020-05-19
PDD,2020-05-19
PNTG,2020-05-19
POOL,2020-05-19
POWL,2020-05-19
PPBI,2020-05-19
PPC,2020-05-19
PRAA,2020-05-19
PRPL,2020-05-19
PZZA,2020-05-19
QTRX,2020-05-19
QURE,2020-05-19
RDFN,2020-05-19
RDHL,2020-05-19
REAL,2020-05-19
REG,2020-05-19
REYN,2020-05-19
RGLD,2020-05-19
RIOT,2020-05-19
RUN,2020-05-19
RYTM,2020-05-19
SAIA,2020-05-19
SBAC,2020-05-19
SBRA,2020-05-19
SCVL,2020-05-19
SHOO,2020-05-19
SLAB,2020-05-19
SLDB,2020-05-19
SMCI,2020-05-19
SMTC,2020-05-19
SRCE,2020-05-19
SSP,2020-05-19
SSRM,2020-05-19
STBA,2020-05-19
STRO,2020-05-19
SVC,2020-05-19
SYBT,2020-05-19
TCBI,2020-05-19
TCOM,2020-05-19
TENX,2020-05-19
TH,2020-05-19
TMUS,2020-05-19
TNDM,2020-05-19
TTD,2020-05-19
TTMI,2020-05-19
UAL,2020-05-19
ULH,2020-05-19
ULTA,2020-05-19
VCYT,2020-05-19
VIRT,2020-05-19
VKTX,2020-05-19
VOD,2020-05-19
VRDN,2020-05-19
VREX,2020-05-19
VRNT,2020-05-19
VSAT,2020-05-19
WB,2020-05-19
WBD,2020-05-19
WDC,2020-05-19
WEN,2020-05-19
WSFS,2020-05-19
XXII,2020-05-19
Z,2020-05-19
ZBRA,2020-05-19
