code,dt
AAL,2024-11-05
AAPL,2024-11-05
ABUS,2024-11-05
ADBE,2024-11-05
ADI,2024-11-05
ADMA,2024-11-05
AEP,2024-11-05
AGNC,2024-11-05
AKBA,2024-11-05
ALT,2024-11-05
AMAT,2024-11-05
AMD,2024-11-05
AMGN,2024-11-05
AMZN,2024-11-05
APA,2024-11-05
APPS,2024-11-05
ARCC,2024-11-05
ARDX,2024-11-05
ATER,2024-11-05
ATOS,2024-11-05
AUPH,2024-11-05
AVGO,2024-11-05
AZN,2024-11-05
BCRX,2024-11-05
BGC,2024-11-05
BIDU,2024-11-05
BILI,2024-11-05
BKR,2024-11-05
BLDP,2024-11-05
BLNK,2024-11-05
BYND,2024-11-05
CAN,2024-11-05
CELH,2024-11-05
CG,2024-11-05
CGC,2024-11-05
CHRD,2024-11-05
CLNE,2024-11-05
CMCSA,2024-11-05
COMM,2024-11-05
COST,2024-11-05
CPB,2024-11-05
CPRT,2024-11-05
CRON,2024-11-05
CRWD,2024-11-05
CSCO,2024-11-05
CSGP,2024-11-05
CSX,2024-11-05
CTSH,2024-11-05
CZR,2024-11-05
DBX,2024-11-05
DDOG,2024-11-05
DKNG,2024-11-05
DLTR,2024-11-05
DOCU,2024-11-05
DVAX,2024-11-05
DXCM,2024-11-05
EA,2024-11-05
EBAY,2024-11-05
ENPH,2024-11-05
ERIC,2024-11-05
ESPR,2024-11-05
ETSY,2024-11-05
EXC,2024-11-05
EXEL,2024-11-05
EXPE,2024-11-05
FANG,2024-11-05
FAST,2024-11-05
FITB,2024-11-05
FLEX,2024-11-05
FOLD,2024-11-05
FOXA,2024-11-05
FSLR,2024-11-05
FTNT,2024-11-05
FUTU,2024-11-05
GEN,2024-11-05
GERN,2024-11-05
GEVO,2024-11-05
GILD,2024-11-05
GOOG,2024-11-05
GOOGL,2024-11-05
GPRO,2024-11-05
GT,2024-11-05
HBAN,2024-11-05
HIVE,2024-11-05
HON,2024-11-05
HST,2024-11-05
HUT,2024-11-05
IBRX,2024-11-05
INTC,2024-11-05
IOVA,2024-11-05
IQ,2024-11-05
IRWD,2024-11-05
JBLU,2024-11-05
JD,2024-11-05
KDP,2024-11-05
KHC,2024-11-05
LBTYK,2024-11-05
LRCX,2024-11-05
LYFT,2024-11-05
MAR,2024-11-05
MARA,2024-11-05
MAT,2024-11-05
MCHP,2024-11-05
MCRB,2024-11-05
MDLZ,2024-11-05
META,2024-11-05
MGNI,2024-11-05
MLCO,2024-11-05
MNKD,2024-11-05
MNST,2024-11-05
MOMO,2024-11-05
MRNA,2024-11-05
MRVL,2024-11-05
MSFT,2024-11-05
MSTR,2024-11-05
MTCH,2024-11-05
MU,2024-11-05
MVIS,2024-11-05
NDAQ,2024-11-05
NFLX,2024-11-05
NKTR,2024-11-05
NNDM,2024-11-05
NTES,2024-11-05
NTNX,2024-11-05
NVAX,2024-11-05
NVDA,2024-11-05
NWL,2024-11-05
NWSA,2024-11-05
NXPI,2024-11-05
OCGN,2024-11-05
OKTA,2024-11-05
ON,2024-11-05
OPK,2024-11-05
PAA,2024-11-05
PACB,2024-11-05
PAGP,2024-11-05
PANW,2024-11-05
PARA,2024-11-05
PCAR,2024-11-05
PDD,2024-11-05
PENN,2024-11-05
PEP,2024-11-05
PLUG,2024-11-05
PTEN,2024-11-05
PTON,2024-11-05
PYPL,2024-11-05
QCOM,2024-11-05
QUBT,2024-11-05
QVCGA,2024-11-05
RDFN,2024-11-05
REAL,2024-11-05
RIOT,2024-11-05
ROKU,2024-11-05
ROST,2024-11-05
RUN,2024-11-05
SABR,2024-11-05
SAVA,2024-11-05
SBUX,2024-11-05
SFIX,2024-11-05
SGMO,2024-11-05
SIRI,2024-11-05
SLM,2024-11-05
SMCI,2024-11-05
SNDL,2024-11-05
SONO,2024-11-05
STNE,2024-11-05
STX,2024-11-05
TCOM,2024-11-05
TGTX,2024-11-05
TIGR,2024-11-05
TLRY,2024-11-05
TMUS,2024-11-05
TRIP,2024-11-05
TSCO,2024-11-05
TSLA,2024-11-05
TTD,2024-11-05
TXN,2024-11-05
UAL,2024-11-05
UNIT,2024-11-05
VERU,2024-11-05
VKTX,2024-11-05
VLY,2024-11-05
VOD,2024-11-05
VTRS,2024-11-05
VXRT,2024-11-05
WBA,2024-11-05
WBD,2024-11-05
WDAY,2024-11-05
WDC,2024-11-05
WEN,2024-11-05
WW,2024-11-05
WYNN,2024-11-05
XEL,2024-11-05
XP,2024-11-05
XRAY,2024-11-05
XRX,2024-11-05
Z,2024-11-05
ZION,2024-11-05
ZM,2024-11-05
ZS,2024-11-05
