code,dt
ABAT,2020-08-24
ACLS,2020-08-24
ACMR,2020-08-24
ADMA,2020-08-24
ADUS,2020-08-24
ADVM,2020-08-24
AEIS,2020-08-24
AGNCM,2020-08-24
AHCO,2020-08-24
ALGT,2020-08-24
ALLO,2020-08-24
AMSF,2020-08-24
ANAB,2020-08-24
ANDE,2020-08-24
APLS,2020-08-24
APPF,2020-08-24
ASML,2020-08-24
ATRC,2020-08-24
AVGO,2020-08-24
AVT,2020-08-24
AXDX,2020-08-24
AXSM,2020-08-24
AZN,2020-08-24
BANR,2020-08-24
BBIO,2020-08-24
BCYC,2020-08-24
BHFAP,2020-08-24
BKR,2020-08-24
BLDP,2020-08-24
BLFS,2020-08-24
BLKB,2020-08-24
BLMN,2020-08-24
BNTX,2020-08-24
BPMC,2020-08-24
CALM,2020-08-24
CAMT,2020-08-24
CASH,2020-08-24
CATY,2020-08-24
CCEP,2020-08-24
CDLX,2020-08-24
CDNS,2020-08-24
CENN,2020-08-24
CENX,2020-08-24
CGC,2020-08-24
CHDN,2020-08-24
CLBK,2020-08-24
COKE,2020-08-24
COLB,2020-08-24
COO,2020-08-24
CORT,2020-08-24
CRMT,2020-08-24
CRNX,2020-08-24
CRTO,2020-08-24
CRVL,2020-08-24
CSCO,2020-08-24
CSQ,2020-08-24
CSWI,2020-08-24
CVBF,2020-08-24
CWST,2020-08-24
CYCC,2020-08-24
CZR,2020-08-24
DLTR,2020-08-24
DORM,2020-08-24
ENTA,2020-08-24
EQIX,2020-08-24
ERIC,2020-08-24
EVRG,2020-08-24
EWBC,2020-08-24
EXAS,2020-08-24
EXLS,2020-08-24
EXPI,2020-08-24
EYE,2020-08-24
FBNC,2020-08-24
FBRX,2020-08-24
FCNCA,2020-08-24
FELE,2020-08-24
FIBK,2020-08-24
FLEX,2020-08-24
FRGT,2020-08-24
FRHC,2020-08-24
FRME,2020-08-24
FWONA,2020-08-24
FWONK,2020-08-24
GDEN,2020-08-24
GIII,2020-08-24
GILD,2020-08-24
GLNG,2020-08-24
GNTX,2020-08-24
GOOGL,2020-08-24
GRPN,2020-08-24
HCSG,2020-08-24
HIMX,2020-08-24
HOPE,2020-08-24
HST,2020-08-24
HTLD,2020-08-24
HUT,2020-08-24
HWC,2020-08-24
ICUI,2020-08-24
IESC,2020-08-24
INTC,2020-08-24
INTU,2020-08-24
IOVA,2020-08-24
IPAR,2020-08-24
IPGP,2020-08-24
ISRG,2020-08-24
JBSS,2020-08-24
KALU,2020-08-24
KPRX,2020-08-24
KRNT,2020-08-24
LAUR,2020-08-24
LBRDA,2020-08-24
LBTYK,2020-08-24
LECO,2020-08-24
LILAK,2020-08-24
LITE,2020-08-24
MANH,2020-08-24
MDXG,2020-08-24
MFIC,2020-08-24
MGEE,2020-08-24
MIDD,2020-08-24
MLAB,2020-08-24
MMSI,2020-08-24
MNKD,2020-08-24
MOMO,2020-08-24
MRVL,2020-08-24
NICE,2020-08-24
NMFC,2020-08-24
NUWE,2020-08-24
NVCR,2020-08-24
NWBI,2020-08-24
OFIX,2020-08-24
OFLX,2020-08-24
OMCL,2020-08-24
OPK,2020-08-24
ORKA,2020-08-24
ORLY,2020-08-24
OTTR,2020-08-24
PDD,2020-08-24
PNTG,2020-08-24
POOL,2020-08-24
POWL,2020-08-24
PPBI,2020-08-24
PPC,2020-08-24
PRAA,2020-08-24
PRPL,2020-08-24
PZZA,2020-08-24
QTRX,2020-08-24
QURE,2020-08-24
RDFN,2020-08-24
RDHL,2020-08-24
REAL,2020-08-24
REG,2020-08-24
REYN,2020-08-24
RGLD,2020-08-24
RIOT,2020-08-24
RUN,2020-08-24
RYTM,2020-08-24
SAIA,2020-08-24
SBAC,2020-08-24
SBRA,2020-08-24
SCVL,2020-08-24
SHOO,2020-08-24
SLAB,2020-08-24
SLDB,2020-08-24
SMCI,2020-08-24
SMTC,2020-08-24
SRCE,2020-08-24
SSP,2020-08-24
SSRM,2020-08-24
STBA,2020-08-24
STRO,2020-08-24
SVC,2020-08-24
SYBT,2020-08-24
TCBI,2020-08-24
TCOM,2020-08-24
TENX,2020-08-24
TH,2020-08-24
TMUS,2020-08-24
TNDM,2020-08-24
TTD,2020-08-24
TTMI,2020-08-24
UAL,2020-08-24
ULH,2020-08-24
ULTA,2020-08-24
VCYT,2020-08-24
VIRT,2020-08-24
VKTX,2020-08-24
VOD,2020-08-24
VRDN,2020-08-24
VREX,2020-08-24
VRNT,2020-08-24
VSAT,2020-08-24
WB,2020-08-24
WBD,2020-08-24
WDC,2020-08-24
WEN,2020-08-24
WSFS,2020-08-24
XXII,2020-08-24
Z,2020-08-24
ZBRA,2020-08-24
