code,dt
AAL,2024-02-05
AAPL,2024-02-05
ABUS,2024-02-05
ADBE,2024-02-05
ADI,2024-02-05
ADMA,2024-02-05
AEP,2024-02-05
AGNC,2024-02-05
AKBA,2024-02-05
ALT,2024-02-05
AMAT,2024-02-05
AMD,2024-02-05
AMGN,2024-02-05
AMZN,2024-02-05
APA,2024-02-05
APPS,2024-02-05
ARCC,2024-02-05
ARDX,2024-02-05
ATER,2024-02-05
ATOS,2024-02-05
AUPH,2024-02-05
AVGO,2024-02-05
AZN,2024-02-05
BCRX,2024-02-05
BGC,2024-02-05
BIDU,2024-02-05
BILI,2024-02-05
BKR,2024-02-05
BLDP,2024-02-05
BLNK,2024-02-05
BYND,2024-02-05
CAN,2024-02-05
CELH,2024-02-05
CG,2024-02-05
CGC,2024-02-05
CHRD,2024-02-05
CLNE,2024-02-05
CMCSA,2024-02-05
COMM,2024-02-05
COST,2024-02-05
CPB,2024-02-05
CPRT,2024-02-05
CRON,2024-02-05
CRWD,2024-02-05
CSCO,2024-02-05
CSGP,2024-02-05
CSX,2024-02-05
CTSH,2024-02-05
CZR,2024-02-05
DBX,2024-02-05
DDOG,2024-02-05
DKNG,2024-02-05
DLTR,2024-02-05
DOCU,2024-02-05
DVAX,2024-02-05
DXCM,2024-02-05
EA,2024-02-05
EBAY,2024-02-05
ENPH,2024-02-05
ERIC,2024-02-05
ESPR,2024-02-05
ETSY,2024-02-05
EXC,2024-02-05
EXEL,2024-02-05
EXPE,2024-02-05
FANG,2024-02-05
FAST,2024-02-05
FITB,2024-02-05
FLEX,2024-02-05
FOLD,2024-02-05
FOXA,2024-02-05
FSLR,2024-02-05
FTNT,2024-02-05
FUTU,2024-02-05
GEN,2024-02-05
GERN,2024-02-05
GEVO,2024-02-05
GILD,2024-02-05
GOOG,2024-02-05
GOOGL,2024-02-05
GPRO,2024-02-05
GT,2024-02-05
HBAN,2024-02-05
HIVE,2024-02-05
HON,2024-02-05
HST,2024-02-05
HUT,2024-02-05
IBRX,2024-02-05
INTC,2024-02-05
IOVA,2024-02-05
IQ,2024-02-05
IRWD,2024-02-05
JBLU,2024-02-05
JD,2024-02-05
KDP,2024-02-05
KHC,2024-02-05
LBTYK,2024-02-05
LRCX,2024-02-05
LYFT,2024-02-05
MAR,2024-02-05
MARA,2024-02-05
MAT,2024-02-05
MCHP,2024-02-05
MCRB,2024-02-05
MDLZ,2024-02-05
META,2024-02-05
MGNI,2024-02-05
MLCO,2024-02-05
MNKD,2024-02-05
MNST,2024-02-05
MOMO,2024-02-05
MRNA,2024-02-05
MRVL,2024-02-05
MSFT,2024-02-05
MSTR,2024-02-05
MTCH,2024-02-05
MU,2024-02-05
MVIS,2024-02-05
NDAQ,2024-02-05
NFLX,2024-02-05
NKTR,2024-02-05
NNDM,2024-02-05
NTES,2024-02-05
NTNX,2024-02-05
NVAX,2024-02-05
NVDA,2024-02-05
NWL,2024-02-05
NWSA,2024-02-05
NXPI,2024-02-05
OCGN,2024-02-05
OKTA,2024-02-05
ON,2024-02-05
OPK,2024-02-05
PAA,2024-02-05
PACB,2024-02-05
PAGP,2024-02-05
PANW,2024-02-05
PARA,2024-02-05
PCAR,2024-02-05
PDD,2024-02-05
PENN,2024-02-05
PEP,2024-02-05
PLUG,2024-02-05
PTEN,2024-02-05
PTON,2024-02-05
PYPL,2024-02-05
QCOM,2024-02-05
QUBT,2024-02-05
QVCGA,2024-02-05
RDFN,2024-02-05
REAL,2024-02-05
RIOT,2024-02-05
ROKU,2024-02-05
ROST,2024-02-05
RUN,2024-02-05
SABR,2024-02-05
SAVA,2024-02-05
SBUX,2024-02-05
SFIX,2024-02-05
SGMO,2024-02-05
SIRI,2024-02-05
SLM,2024-02-05
SMCI,2024-02-05
SNDL,2024-02-05
SONO,2024-02-05
STNE,2024-02-05
STX,2024-02-05
TCOM,2024-02-05
TGTX,2024-02-05
TIGR,2024-02-05
TLRY,2024-02-05
TMUS,2024-02-05
TRIP,2024-02-05
TSCO,2024-02-05
TSLA,2024-02-05
TTD,2024-02-05
TXN,2024-02-05
UAL,2024-02-05
UNIT,2024-02-05
VERU,2024-02-05
VKTX,2024-02-05
VLY,2024-02-05
VOD,2024-02-05
VTRS,2024-02-05
VXRT,2024-02-05
WBA,2024-02-05
WBD,2024-02-05
WDAY,2024-02-05
WDC,2024-02-05
WEN,2024-02-05
WW,2024-02-05
WYNN,2024-02-05
XEL,2024-02-05
XP,2024-02-05
XRAY,2024-02-05
XRX,2024-02-05
Z,2024-02-05
ZION,2024-02-05
ZM,2024-02-05
ZS,2024-02-05
