code,dt
000001SZ,2023-05-12
000002SZ,2023-05-12
000157SZ,2023-05-12
000166SZ,2023-05-12
000333SZ,2023-05-12
000338SZ,2023-05-12
000538SZ,2023-05-12
000568SZ,2023-05-12
000596SZ,2023-05-12
000617SZ,2023-05-12
000625SZ,2023-05-12
000651SZ,2023-05-12
000661SZ,2023-05-12
000708SZ,2023-05-12
000725SZ,2023-05-12
000768SZ,2023-05-12
000776SZ,2023-05-12
000786SZ,2023-05-12
000800SZ,2023-05-12
000807SZ,2023-05-12
000858SZ,2023-05-12
000876SZ,2023-05-12
000895SZ,2023-05-12
000938SZ,2023-05-12
000963SZ,2023-05-12
000999SZ,2023-05-12
001965SZ,2023-05-12
002001SZ,2023-05-12
002007SZ,2023-05-12
002027SZ,2023-05-12
002028SZ,2023-05-12
002050SZ,2023-05-12
002129SZ,2023-05-12
002179SZ,2023-05-12
002230SZ,2023-05-12
002236SZ,2023-05-12
002241SZ,2023-05-12
002271SZ,2023-05-12
002304SZ,2023-05-12
002311SZ,2023-05-12
002371SZ,2023-05-12
002415SZ,2023-05-12
002422SZ,2023-05-12
002459SZ,2023-05-12
002460SZ,2023-05-12
002463SZ,2023-05-12
002466SZ,2023-05-12
002475SZ,2023-05-12
002493SZ,2023-05-12
002555SZ,2023-05-12
002594SZ,2023-05-12
002601SZ,2023-05-12
002648SZ,2023-05-12
002709SZ,2023-05-12
002714SZ,2023-05-12
002916SZ,2023-05-12
002920SZ,2023-05-12
002938SZ,2023-05-12
003816SZ,2023-05-12
300014SZ,2023-05-12
300033SZ,2023-05-12
300059SZ,2023-05-12
300122SZ,2023-05-12
300124SZ,2023-05-12
300274SZ,2023-05-12
300308SZ,2023-05-12
300316SZ,2023-05-12
300347SZ,2023-05-12
300394SZ,2023-05-12
300408SZ,2023-05-12
300413SZ,2023-05-12
300418SZ,2023-05-12
300433SZ,2023-05-12
300450SZ,2023-05-12
300498SZ,2023-05-12
300502SZ,2023-05-12
300628SZ,2023-05-12
300661SZ,2023-05-12
300750SZ,2023-05-12
300759SZ,2023-05-12
300760SZ,2023-05-12
300782SZ,2023-05-12
600000SS,2023-05-12
600010SS,2023-05-12
600011SS,2023-05-12
600015SS,2023-05-12
600016SS,2023-05-12
600018SS,2023-05-12
600019SS,2023-05-12
600023SS,2023-05-12
600025SS,2023-05-12
600026SS,2023-05-12
600028SS,2023-05-12
600029SS,2023-05-12
600031SS,2023-05-12
600036SS,2023-05-12
600048SS,2023-05-12
600050SS,2023-05-12
600061SS,2023-05-12
600085SS,2023-05-12
600089SS,2023-05-12
600104SS,2023-05-12
600111SS,2023-05-12
600115SS,2023-05-12
600161SS,2023-05-12
600183SS,2023-05-12
600188SS,2023-05-12
600196SS,2023-05-12
600219SS,2023-05-12
600233SS,2023-05-12
600276SS,2023-05-12
600309SS,2023-05-12
600332SS,2023-05-12
600346SS,2023-05-12
600362SS,2023-05-12
600377SS,2023-05-12
600406SS,2023-05-12
600415SS,2023-05-12
600426SS,2023-05-12
600436SS,2023-05-12
600438SS,2023-05-12
600489SS,2023-05-12
600519SS,2023-05-12
600570SS,2023-05-12
600585SS,2023-05-12
600588SS,2023-05-12
600600SS,2023-05-12
600660SS,2023-05-12
600674SS,2023-05-12
600741SS,2023-05-12
600760SS,2023-05-12
600795SS,2023-05-12
600809SS,2023-05-12
600875SS,2023-05-12
600886SS,2023-05-12
600887SS,2023-05-12
600926SS,2023-05-12
600989SS,2023-05-12
601006SS,2023-05-12
601009SS,2023-05-12
601012SS,2023-05-12
601021SS,2023-05-12
601058SS,2023-05-12
601066SS,2023-05-12
601088SS,2023-05-12
601100SS,2023-05-12
601117SS,2023-05-12
601138SS,2023-05-12
601166SS,2023-05-12
601169SS,2023-05-12
601186SS,2023-05-12
601225SS,2023-05-12
601229SS,2023-05-12
601238SS,2023-05-12
601288SS,2023-05-12
601318SS,2023-05-12
601319SS,2023-05-12
601328SS,2023-05-12
601336SS,2023-05-12
601360SS,2023-05-12
601390SS,2023-05-12
601398SS,2023-05-12
601600SS,2023-05-12
601601SS,2023-05-12
601607SS,2023-05-12
601618SS,2023-05-12
601628SS,2023-05-12
601633SS,2023-05-12
601658SS,2023-05-12
601668SS,2023-05-12
601669SS,2023-05-12
601688SS,2023-05-12
601689SS,2023-05-12
601698SS,2023-05-12
601699SS,2023-05-12
601766SS,2023-05-12
601788SS,2023-05-12
601799SS,2023-05-12
601800SS,2023-05-12
601808SS,2023-05-12
601816SS,2023-05-12
601818SS,2023-05-12
601838SS,2023-05-12
601857SS,2023-05-12
601865SS,2023-05-12
601872SS,2023-05-12
601877SS,2023-05-12
601878SS,2023-05-12
601881SS,2023-05-12
601888SS,2023-05-12
601899SS,2023-05-12
601901SS,2023-05-12
601919SS,2023-05-12
601939SS,2023-05-12
601985SS,2023-05-12
601988SS,2023-05-12
601998SS,2023-05-12
603019SS,2023-05-12
603195SS,2023-05-12
603259SS,2023-05-12
603260SS,2023-05-12
603288SS,2023-05-12
603369SS,2023-05-12
603501SS,2023-05-12
603659SS,2023-05-12
603799SS,2023-05-12
603806SS,2023-05-12
603833SS,2023-05-12
603986SS,2023-05-12
603993SS,2023-05-12
688008SS,2023-05-12
688009SS,2023-05-12
688012SS,2023-05-12
688036SS,2023-05-12
688111SS,2023-05-12
688169SS,2023-05-12
688396SS,2023-05-12
