code,dt
AAL,2021-08-30
AAPL,2021-08-30
ABUS,2021-08-30
ADBE,2021-08-30
ADI,2021-08-30
ADMA,2021-08-30
AEP,2021-08-30
AGNC,2021-08-30
AKBA,2021-08-30
ALT,2021-08-30
AMAT,2021-08-30
AMD,2021-08-30
AMGN,2021-08-30
AMZN,2021-08-30
APA,2021-08-30
APPS,2021-08-30
ARCC,2021-08-30
ARDX,2021-08-30
ATER,2021-08-30
ATOS,2021-08-30
AUPH,2021-08-30
AVGO,2021-08-30
AZN,2021-08-30
BCRX,2021-08-30
BGC,2021-08-30
BIDU,2021-08-30
BILI,2021-08-30
BKR,2021-08-30
BLDP,2021-08-30
BLNK,2021-08-30
BYND,2021-08-30
CAN,2021-08-30
CELH,2021-08-30
CG,2021-08-30
CGC,2021-08-30
CHRD,2021-08-30
CLNE,2021-08-30
CMCSA,2021-08-30
COMM,2021-08-30
COST,2021-08-30
CPB,2021-08-30
CPRT,2021-08-30
CRON,2021-08-30
CRWD,2021-08-30
CSCO,2021-08-30
CSGP,2021-08-30
CSX,2021-08-30
CTSH,2021-08-30
CZR,2021-08-30
DBX,2021-08-30
DDOG,2021-08-30
DKNG,2021-08-30
DLTR,2021-08-30
DOCU,2021-08-30
DVAX,2021-08-30
DXCM,2021-08-30
EA,2021-08-30
EBAY,2021-08-30
ENPH,2021-08-30
ERIC,2021-08-30
ESPR,2021-08-30
ETSY,2021-08-30
EXC,2021-08-30
EXEL,2021-08-30
EXPE,2021-08-30
FANG,2021-08-30
FAST,2021-08-30
FITB,2021-08-30
FLEX,2021-08-30
FOLD,2021-08-30
FOXA,2021-08-30
FSLR,2021-08-30
FTNT,2021-08-30
FUTU,2021-08-30
GEN,2021-08-30
GERN,2021-08-30
GEVO,2021-08-30
GILD,2021-08-30
GOOG,2021-08-30
GOOGL,2021-08-30
GPRO,2021-08-30
GT,2021-08-30
HBAN,2021-08-30
HIVE,2021-08-30
HON,2021-08-30
HST,2021-08-30
HUT,2021-08-30
IBRX,2021-08-30
INTC,2021-08-30
IOVA,2021-08-30
IQ,2021-08-30
IRWD,2021-08-30
JBLU,2021-08-30
JD,2021-08-30
KDP,2021-08-30
KHC,2021-08-30
LBTYK,2021-08-30
LRCX,2021-08-30
LYFT,2021-08-30
MAR,2021-08-30
MARA,2021-08-30
MAT,2021-08-30
MCHP,2021-08-30
MCRB,2021-08-30
MDLZ,2021-08-30
META,2021-08-30
MGNI,2021-08-30
MLCO,2021-08-30
MNKD,2021-08-30
MNST,2021-08-30
MOMO,2021-08-30
MRNA,2021-08-30
MRVL,2021-08-30
MSFT,2021-08-30
MSTR,2021-08-30
MTCH,2021-08-30
MU,2021-08-30
MVIS,2021-08-30
NDAQ,2021-08-30
NFLX,2021-08-30
NKTR,2021-08-30
NNDM,2021-08-30
NTES,2021-08-30
NTNX,2021-08-30
NVAX,2021-08-30
NVDA,2021-08-30
NWL,2021-08-30
NWSA,2021-08-30
NXPI,2021-08-30
OCGN,2021-08-30
OKTA,2021-08-30
ON,2021-08-30
OPK,2021-08-30
PAA,2021-08-30
PACB,2021-08-30
PAGP,2021-08-30
PANW,2021-08-30
PARA,2021-08-30
PCAR,2021-08-30
PDD,2021-08-30
PENN,2021-08-30
PEP,2021-08-30
PLUG,2021-08-30
PTEN,2021-08-30
PTON,2021-08-30
PYPL,2021-08-30
QCOM,2021-08-30
QUBT,2021-08-30
QVCGA,2021-08-30
RDFN,2021-08-30
REAL,2021-08-30
RIOT,2021-08-30
ROKU,2021-08-30
ROST,2021-08-30
RUN,2021-08-30
SABR,2021-08-30
SAVA,2021-08-30
SBUX,2021-08-30
SFIX,2021-08-30
SGMO,2021-08-30
SIRI,2021-08-30
SLM,2021-08-30
SMCI,2021-08-30
SNDL,2021-08-30
SONO,2021-08-30
STNE,2021-08-30
STX,2021-08-30
TCOM,2021-08-30
TGTX,2021-08-30
TIGR,2021-08-30
TLRY,2021-08-30
TMUS,2021-08-30
TRIP,2021-08-30
TSCO,2021-08-30
TSLA,2021-08-30
TTD,2021-08-30
TXN,2021-08-30
UAL,2021-08-30
UNIT,2021-08-30
VERU,2021-08-30
VKTX,2021-08-30
VLY,2021-08-30
VOD,2021-08-30
VTRS,2021-08-30
VXRT,2021-08-30
WBA,2021-08-30
WBD,2021-08-30
WDAY,2021-08-30
WDC,2021-08-30
WEN,2021-08-30
WW,2021-08-30
WYNN,2021-08-30
XEL,2021-08-30
XP,2021-08-30
XRAY,2021-08-30
XRX,2021-08-30
Z,2021-08-30
ZION,2021-08-30
ZM,2021-08-30
ZS,2021-08-30
